date,ninsee,no2,o3,pm10
01/04/2018,77470,22,34,22
01/04/2018,77471,10,41,15
01/04/2018,77472,12,35,24
01/04/2018,77473,7,43,15
01/04/2018,77474,22,33,27
01/04/2018,77475,16,34,27
01/04/2018,77476,14,34,25
01/04/2018,77477,6,43,15
01/04/2018,77478,13,35,25
01/04/2018,77479,30,32,25
01/04/2018,77480,10,41,17
01/04/2018,77481,12,38,20
01/04/2018,77482,8,43,17
01/04/2018,77483,16,34,27
01/04/2018,77484,16,34,25
01/04/2018,77485,8,42,15
01/04/2018,77486,14,36,24
01/04/2018,77487,15,39,19
01/04/2018,77489,9,43,15
01/04/2018,77490,11,35,24
01/04/2018,77491,7,43,15
01/04/2018,77492,11,35,25
01/04/2018,77493,15,37,20
01/04/2018,77494,9,42,17
01/04/2018,77495,18,38,19
01/04/2018,77496,12,37,20
01/04/2018,77498,21,33,27
01/04/2018,77500,9,43,15
01/04/2018,77501,7,43,15
01/04/2018,77504,8,43,15
01/04/2018,77505,16,34,25
01/04/2018,77506,7,43,15
01/04/2018,77507,11,37,19
01/04/2018,77508,21,34,25
01/04/2018,77509,11,40,19
01/04/2018,77510,23,33,24
01/04/2018,77511,28,32,29
01/04/2018,77512,11,35,24
01/04/2018,77513,20,33,27
01/04/2018,77514,28,30,29
01/04/2018,77515,22,33,29
01/04/2018,77516,8,43,17
01/04/2018,77517,28,31,27
01/04/2018,77518,15,40,17
01/04/2018,77519,11,36,24
01/04/2018,77520,5,43,15
01/04/2018,77521,20,33,25
01/04/2018,77522,11,36,20
01/04/2018,77523,10,36,20
01/04/2018,77524,11,40,19
01/04/2018,77525,23,33,29
01/04/2018,77526,13,34,25
01/04/2018,77527,14,36,22
01/04/2018,77528,17,38,19
01/04/2018,77529,19,34,25
01/04/2018,77530,11,36,22
01/04/2018,77531,9,43,17
01/04/2018,77532,11,37,22
01/04/2018,77533,9,41,17
01/04/2018,77534,17,37,20
01/04/2018,78003,7,40,15
01/04/2018,78005,20,37,20
01/04/2018,78006,10,40,15
01/04/2018,78007,15,38,19
01/04/2018,78009,8,40,15
01/04/2018,78010,14,38,19
01/04/2018,78013,13,38,19
01/04/2018,78015,16,37,20
01/04/2018,78020,15,38,19
01/04/2018,78029,14,37,20
01/04/2018,78030,9,40,15
01/04/2018,78031,16,36,19
01/04/2018,78033,14,37,19
01/04/2018,78034,12,39,17
01/04/2018,78036,12,39,19
01/04/2018,78043,15,39,19
01/04/2018,78048,12,40,17
01/04/2018,78049,14,37,19
01/04/2018,78050,10,40,17
01/04/2018,78053,12,39,17
01/04/2018,78057,15,36,19
01/04/2018,78062,13,39,19
01/04/2018,78068,14,37,19
01/04/2018,78070,15,37,19
01/04/2018,78071,8,40,15
01/04/2018,78072,15,38,19
01/04/2018,78073,12,40,19
01/04/2018,78076,12,39,17
01/04/2018,78077,10,40,15
01/04/2018,78082,15,38,19
01/04/2018,78084,11,39,17
01/04/2018,78087,10,40,17
01/04/2018,78089,15,37,19
01/04/2018,78090,15,37,20
01/04/2018,78092,18,37,19
01/04/2018,78096,11,40,15
01/04/2018,78104,16,37,19
