Code du Département;Date;Nb actuellement hospitalisés;Nb actuellement en soins intensifs;Total retour à domicile;Total Décès;Code région;Code ISO 3166 de la zone;Nom région;Nom département;Sexe;geo_point_2d;HospConv;SSR_USLD;autres;Nb Quotidien Admis Hospitalisation;Nb Quotidien Admis Réanimation;Nb Quotidien Décès;Nb Quotidien Retour à Domicile
56;2022-07-24;82;4;2489;412;53;FRA;Bretagne;Morbihan;Homme;47.8441455862, -2.8088066223;69.0;9.0;0.0;;;;
22;2022-07-29;68;2;4035;467;53;FRA;Bretagne;Côtes-d'Armor;Tous;48.4390612443, -2.86206319142;48.0;6.0;12.0;5;0;1;9
29;2022-07-31;105;8;2607;387;53;FRA;Bretagne;Finistère;Homme;48.2628706879, -4.05692098846;76.0;19.0;2.0;;;;
56;2022-08-01;138;5;5201;744;53;FRA;Bretagne;Morbihan;Tous;47.8441455862, -2.8088066223;108.0;24.0;1.0;11;1;0;4
56;2022-04-15;115;2;2069;275;53;FRA;Bretagne;Morbihan;Femme;47.8441455862, -2.8088066223;79.0;32.0;2.0;;;;
56;2022-04-16;219;13;4088;643;53;FRA;Bretagne;Morbihan;Tous;47.8441455862, -2.8088066223;154.0;50.0;2.0;6;0;0;15
22;2022-04-17;88;5;1444;209;53;FRA;Bretagne;Côtes-d'Armor;Homme;48.4390612443, -2.86206319142;61.0;15.0;7.0;;;;
35;2022-04-17;225;15;3455;592;53;FRA;Bretagne;Ille-et-Vilaine;Homme;48.1584949366, -1.63554809717;165.0;45.0;0.0;;;;
35;2022-04-20;229;22;3494;594;53;FRA;Bretagne;Ille-et-Vilaine;Homme;48.1584949366, -1.63554809717;165.0;42.0;0.0;;;;
35;2022-04-21;466;34;7177;1058;53;FRA;Bretagne;Ille-et-Vilaine;Tous;48.1584949366, -1.63554809717;317.0;109.0;6.0;26;6;1;23
35;2022-04-27;437;30;7320;1071;53;FRA;Bretagne;Ille-et-Vilaine;Tous;48.1584949366, -1.63554809717;276.0;125.0;6.0;26;3;1;33
22;2022-05-09;110;4;3396;423;53;FRA;Bretagne;Côtes-d'Armor;Tous;48.4390612443, -2.86206319142;74.0;21.0;11.0;6;0;1;14
35;2022-05-11;166;18;3705;616;53;FRA;Bretagne;Ille-et-Vilaine;Homme;48.1584949366, -1.63554809717;110.0;37.0;1.0;;;;
56;2022-05-11;128;10;4480;679;53;FRA;Bretagne;Morbihan;Tous;47.8441455862, -2.8088066223;90.0;27.0;1.0;11;1;1;14
35;2022-04-24;230;22;3543;598;53;FRA;Bretagne;Ille-et-Vilaine;Homme;48.1584949366, -1.63554809717;159.0;49.0;0.0;;;;
29;2022-05-04;260;17;3954;557;53;FRA;Bretagne;Finistère;Tous;48.2628706879, -4.05692098846;186.0;51.0;6.0;19;3;1;41
29;2022-08-07;94;5;2668;392;53;FRA;Bretagne;Finistère;Homme;48.2628706879, -4.05692098846;66.0;21.0;2.0;;;;
22;2023-01-31;42;2;5435;548;53;FRA;Bretagne;Côtes-d'Armor;Tous;48.4390612443, -2.86206319142;34.0;5.0;1.0;2;0;0;1
56;2022-08-13;60;3;2575;421;53;FRA;Bretagne;Morbihan;Homme;47.8441455862, -2.8088066223;47.0;10.0;0.0;;;;
29;2023-02-04;158;8;7661;807;53;FRA;Bretagne;Finistère;Tous;48.2628706879, -4.05692098846;79.0;67.0;4.0;0;0;0;0
35;2022-08-16;102;13;4316;659;53;FRA;Bretagne;Ille-et-Vilaine;Homme;48.1584949366, -1.63554809717;76.0;13.0;0.0;;;;
29;2022-08-18;89;4;2736;267;53;FRA;Bretagne;Finistère;Femme;48.2628706879, -4.05692098846;62.0;21.0;2.0;;;;
35;2022-08-18;97;17;4334;660;53;FRA;Bretagne;Ille-et-Vilaine;Homme;48.1584949366, -1.63554809717;66.0;14.0;0.0;;;;
22;2022-04-05;194;2;2845;387;53;FRA;Bretagne;Côtes-d'Armor;Tous;48.4390612443, -2.86206319142;132.0;50.0;10.0;29;0;1;67
29;2023-02-13;120;6;7770;812;53;FRA;Bretagne;Finistère;Tous;48.2628706879, -4.05692098846;66.0;47.0;1.0;4;0;0;6
56;2022-04-06;102;3;1991;269;53;FRA;Bretagne;Morbihan;Femme;47.8441455862, -2.8088066223;79.0;18.0;2.0;;;;
56;2023-02-14;54;1;6577;863;53;FRA;Bretagne;Morbihan;Tous;47.8441455862, -2.8088066223;38.0;14.0;1.0;10;1;1;20
35;2022-04-09;203;11;3348;580;53;FRA;Bretagne;Ille-et-Vilaine;Homme;48.1584949366, -1.63554809717;151.0;41.0;0.0;;;;
29;2022-04-10;361;16;3273;508;53;FRA;Bretagne;Finistère;Tous;48.2628706879, -4.05692098846;181.0;144.0;20.0;13;4;0;12
22;2023-02-22;41;1;5501;551;53;FRA;Bretagne;Côtes-d'Armor;Tous;48.4390612443, -2.86206319142;23.0;1.0;16.0;1;0;0;3
35;2023-02-23;32;1;5563;583;53;FRA;Bretagne;Ille-et-Vilaine;Femme;48.1584949366, -1.63554809717;29.0;2.0;0.0;;;;
35;2023-02-25;84;4;11032;1367;53;FRA;Bretagne;Ille-et-Vilaine;Tous;48.1584949366, -1.63554809717;70.0;9.0;1.0;1;0;0;2
22;2023-03-04;33;1;5524;551;53;FRA;Bretagne;Côtes-d'Armor;Tous;48.4390612443, -2.86206319142;16.0;0.0;16.0;0;0;0;0
